pop,lon,lat
Cheng_AB1,-114.002536,52.812438
Cheng_AB2,-115.155772,55.580996
Cheng_AK2,-147.667147,64.41532
Cheng_AK4,-162.423543,67.044336
Cheng_AK6,-145.31326,61.979331
Cheng_BC1,-122.974924,49.270931
Cheng_BC2,-122.866688,53.46312
Cheng_BC4,-121.32603,51.56681
Cheng_CA1,-121.904507,41.441051
Cheng_CA2,-121.018686,39.883671
Cheng_CO1,-106.648968,38.776789
Cheng_IR1,-89.176299,47.878227
Cheng_MB1,-101.409088,53.291962
Cheng_ME1,-69.191793,45.464673
Cheng_MI1,-87.407227,46.515406
Cheng_MN1,-92.299313,46.750958
Cheng_MN2,-94.734496,47.729357
Cheng_MT1,-114.274658,48.445959
Cheng_NB1,-65.66682,47.6139
Cheng_NWT1,-126.80008,65.3
Cheng_NWT2,-121.341291,61.829867
Cheng_NY1,-74.144677,43.625235
Cheng_ON1,-79.017227,48.561905
Cheng_ON3,-81.575773,48.630764
Cheng_OR1,-121.82194,43.773935
Cheng_OR2,-118.365043,44.556151
Cheng_PA1,-78.879522,41.474128
Cheng_PA2,-75.570485,41.25827
Cheng_QC3,-63.699646,50.327568
Cheng_QC4,-67.663646,48.7019
Cheng_SK1,-105.072371,53.761746
Cheng_UT1,-111.359751,41.47188
Cheng_VT1,-72.394909,44.922346
Cheng_WA1,-121.833235,45.514129
Cheng_WA3,-123.712729,47.948194
Cheng_WA4,-120.822984,48.027961
Cheng_WV1,-79.865718,38.706047
Cheng_WY1,-110.53619,44.089849
Cheng_YK2,-137.90785,60.996953
